Title,Rating,Memory,Disply,Camera,Processor,Warranty,Selling_price,actual_price,discount,emi,exchange_price
Apple iPhone 8 (Silver| 256 GB),4.5,256 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A11 Bionic Chip with 64-bit Architecture| Neural Engine| Embedded M11 Motion Coprocessor Processor,Brand Warranty of 1 Year,₹54900,₹54900,0,0,0
Apple iPhone 11 Pro Max (Silver| 512 GB),4.7,512 GB ROM ,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹141900,₹141900,0,No Cost EMI,₹14000
Apple iPhone 8 (Gold| 256 GB),4.5,256 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A11 Bionic Chip with 64-bit Architecture| Neural Engine| Embedded M11 Motion Coprocessor Processor,Brand Warranty of 1 Year,₹53999,₹53999,0,0,0
Apple iPhone 7 Plus (Gold| 256 GB),4.5,256 GB ROM ,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹49900,₹54990,9% off,0,0
Apple iPhone 7 (Silver| 32 GB),4.5,32 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹27999,₹29900,6% off,No Cost EMI,₹14000
Apple iPhone 7 (Red| 128 GB),4.5,128 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹34900,₹34900,0,No Cost EMI,₹14000
Apple iPhone 7 (Jet Black| 32 GB),4.5,32 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹27999,₹29900,6% off,No Cost EMI,₹14000
Apple iPhone 6s Plus (Space Grey| 32 GB),4.4,32 GB ROM ,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year,₹33999,₹34900,2% off,No Cost EMI,₹14000
Apple iPhone X (Silver| 64 GB),4.6,64 GB ROM ,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A11 Bionic Chip with 64-bit Architecture| Neural Engine| Embedded M11 Motion Coprocessor Processor,Brand Warranty of 1 Year,₹69999,₹91900,23% off,No Cost EMI,₹14000
Apple iPhone 11 (Black| 256 GB),4.7,256 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹79900,₹79900,0,No Cost EMI,₹14000
